Warehouse_ID,Priority_Level,Package_Count
WH-001,4,42
WH-002,3,51
WH-003,1,34
WH-004,5,97
WH-005,4,96
WH-006,2,78
WH-007,3,92
WH-008,5,65
WH-009,1,93
WH-010,1,95
WH-011,1,12
WH-012,5,25
WH-013,3,59
WH-014,2,74
WH-015,5,3
WH-016,3,9
WH-017,3,85
WH-018,1,62
WH-019,3,46
WH-020,3,58
WH-021,2,63
WH-022,4,7
WH-023,4,20
WH-024,1,50
WH-025,4,66
WH-026,5,25
WH-027,2,33
WH-028,4,35
WH-029,3,92
WH-030,2,32
WH-031,3,18
WH-032,5,72
WH-033,5,83
WH-034,2,88
WH-035,4,72
WH-036,5,36
WH-037,5,47
WH-038,4,35
WH-039,1,60
WH-040,1,68
WH-041,5,18
WH-042,5,20
WH-043,1,98
WH-044,3,53
WH-045,2,19
WH-046,5,6
WH-047,1,30
WH-048,2,45
WH-049,5,97
WH-050,3,67
WH-051,5,88
WH-052,4,58
WH-053,3,25
WH-054,2,78
WH-055,1,41
WH-056,4,94
WH-057,1,53
WH-058,5,82
WH-059,5,32
WH-060,2,77
WH-061,5,45
WH-062,4,59
WH-063,2,3
WH-064,5,92
WH-065,2,38
WH-066,2,99
WH-067,1,71
WH-068,1,25
WH-069,3,60
WH-070,3,77
WH-071,1,29
WH-072,3,44
WH-073,3,23
WH-074,3,71
WH-075,3,31
WH-076,3,13
WH-077,3,90
WH-078,4,45
WH-079,2,37
WH-080,3,17
WH-081,1,70
WH-082,1,40
WH-083,5,100
WH-084,2,84
WH-085,5,30
WH-086,5,68
WH-087,1,23
WH-088,2,80
WH-089,4,68
WH-090,5,8
WH-091,5,24
WH-092,5,13
WH-093,4,58
WH-094,5,46
WH-095,5,31
WH-096,3,3
WH-097,5,5
WH-098,2,8
WH-099,2,20
WH-100,1,21
