=== Bubble Sorted Results ===
Warehouse_ID  Priority_Level  Package_Count
----------------------------------------
WH-011        1               12           
WH-100        1               21           
WH-087        1               23           
WH-068        1               25           
WH-071        1               29           
WH-047        1               30           
WH-003        1               34           
WH-082        1               40           
WH-055        1               41           
WH-024        1               50           
WH-057        1               53           
WH-039        1               60           
WH-018        1               62           
WH-040        1               68           
WH-081        1               70           
WH-067        1               71           
WH-009        1               93           
WH-010        1               95           
WH-043        1               98           
WH-063        2               3            
WH-098        2               8            
WH-045        2               19           
WH-099        2               20           
WH-030        2               32           
WH-027        2               33           
WH-079        2               37           
WH-065        2               38           
WH-048        2               45           
WH-021        2               63           
WH-014        2               74           
WH-060        2               77           
WH-006        2               78           
WH-054        2               78           
WH-088        2               80           
WH-084        2               84           
WH-034        2               88           
WH-066        2               99           
WH-096        3               3            
WH-016        3               9            
WH-076        3               13           
WH-080        3               17           
WH-031        3               18           
WH-073        3               23           
WH-053        3               25           
WH-075        3               31           
WH-072        3               44           
WH-019        3               46           
WH-002        3               51           
WH-044        3               53           
WH-020        3               58           
WH-013        3               59           
WH-069        3               60           
WH-050        3               67           
WH-074        3               71           
WH-070        3               77           
WH-017        3               85           
WH-077        3               90           
WH-007        3               92           
WH-029        3               92           
WH-022        4               7            
WH-023        4               20           
WH-028        4               35           
WH-038        4               35           
WH-001        4               42           
WH-078        4               45           
WH-052        4               58           
WH-093        4               58           
WH-062        4               59           
WH-025        4               66           
WH-089        4               68           
WH-035        4               72           
WH-056        4               94           
WH-005        4               96           
WH-015        5               3            
WH-097        5               5            
WH-046        5               6            
WH-090        5               8            
WH-092        5               13           
WH-041        5               18           
WH-042        5               20           
WH-091        5               24           
WH-012        5               25           
WH-026        5               25           
WH-085        5               30           
WH-095        5               31           
WH-059        5               32           
WH-036        5               36           
WH-061        5               45           
WH-094        5               46           
WH-037        5               47           
WH-008        5               65           
WH-086        5               68           
WH-032        5               72           
WH-058        5               82           
WH-033        5               83           
WH-051        5               88           
WH-064        5               92           
WH-004        5               97           
WH-049        5               97           
WH-083        5               100          

=== Comparison Results ===
Merge and Bubble sorts are identical.
Quick and Bubble sorts are identical.

=== Sort Performance Metrics ===
Bubble priority sort iteration count: 4950
Merge priority sort n_of right array is smaller than left: 110
Quick priority sort recursive step count: 3

Bubble package count sort iteration count: 997
Merge package count n_of right array is smaller than left: 178
Quick package count sort recursive step count: 61
